MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974479,37.7924804,-0.0480000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,22.0440000,0.0465551,0.1825864,0.0487300
MsgID.LOCAL_VELOCITY,22.0440000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924811,-0.0550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,22.2940000,0.1258225,0.1274481,0.0551056
MsgID.LOCAL_VELOCITY,22.2940000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924792,-0.0570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,22.5440000,-0.0812950,0.1197899,0.0570134
MsgID.LOCAL_VELOCITY,22.5440000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924791,-0.0490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,22.7940000,-0.0912994,-0.0572352,0.0499112
MsgID.LOCAL_VELOCITY,22.7940000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,True,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974520,37.7924799,-0.0300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,23.0440000,-0.0005414,-0.1847883,0.0308456
MsgID.LOCAL_VELOCITY,23.0440000,0.0000211,0.0000000,0.0000063
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924797,0.0000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,23.2940000,-0.0251758,0.0029401,-0.0009853
MsgID.LOCAL_VELOCITY,23.2940000,0.0000142,0.0000031,0.0000109
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924794,0.0430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,23.5440000,-0.0646270,0.1045421,-0.0432726
MsgID.LOCAL_VELOCITY,23.5440000,-0.0000052,-0.0000086,0.0000117
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924796,0.0900000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,23.7940000,-0.0410160,-0.1173715,-0.0904512
MsgID.LOCAL_VELOCITY,23.7940000,0.0000201,0.0000331,0.0000112
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974518,37.7924810,0.1360000
